,Title,Published_date,Views,Likes,Comments,VIDEO_ID
229,At-Home CHEST & SHOULDER Workout | Future Home-Gym Expansion Plans,2021-05-28T13:59:54Z,227497,13888,1156,E23cP7gOsNs
230,Setting Up The MINI-HOME GYM! New Equipment Upgrades + Unboxing | My High Protein Pasta Recipe,2021-05-23T13:59:43Z,629417,34066,1394,576RrI0cQDc
231,Push Day PRs | Massive Package Unboxing | Home Workout Motivation,2021-05-20T14:00:31Z,217478,14987,797,mVCFyCTHb5A
232,We're Back,2021-05-17T14:05:47Z,125756,11608,945,GDvxUTQ8hVc
233,My Lockdown HOME Workout Routine To Build Muscle (Weights + Cardio),2021-05-12T14:00:22Z,289533,19574,872,D0rMwyZv0S0
234,taking a small break,2021-05-05T14:01:00Z,150550,11616,998,akvOe7e9fHI
235,Home CHEST Workout w/ @AryanKhannayt | Grocery Haul | Stories From Lockdown: Day 13,2021-05-01T13:59:16Z,211533,13709,1046,D84u9PgHJbA
236,My First AB WORKOUT! Stories From Lockdown: Day 12,2021-04-30T14:00:18Z,196035,13433,808,NiDeNsdk5x4
237,My First Online Yoga Workshop,2021-04-29T14:30:01Z,113875,9734,903,WcN8fz56Xuw
238,A Challenge To Myself,2021-04-28T14:00:29Z,104683,9972,857,8gtmem4IYDU
239,Stories From Lockdown: Day 9,2021-04-27T14:00:52Z,107315,8183,532,5_55REcxjEU
240,Gudi Padwa 2021! Stories From Lockdown: Day 8,2021-04-25T14:01:03Z,135007,10549,791,r8wHch4IF34
241,Stories From Lockdown: Day 7,2021-04-24T14:16:34Z,133385,11055,826,3QA78bk_jPw
242,Stories From Lockdown: Day 6,2021-04-23T14:04:27Z,111710,9015,745,0i14hNlYw7k
243,STOCKING UP FOR THE FUTURE! Stories From Lockdown: Day 5,2021-04-22T14:00:36Z,119501,10213,590,E43IjWgkSEc
244,"BACK Day | Coffee, Cubing ‘n Chess | Stories From Lockdown: Day 4",2021-04-21T14:00:51Z,120881,9057,691,-OXoPkmUU04
245,UNBOXINGS & GIVEAWAYS! Stories From Lockdown: Day 3,2021-04-20T14:00:45Z,105130,9336,623,-j11RQhWgSU
246,The First HOME Workout | Stories From Lockdown: Day 2,2021-04-19T14:00:33Z,179680,15124,1000,SQoX9T_til0
247,IT'S HAPPENING AGAIN | Stories From Lockdown: Day 1,2021-04-18T14:00:02Z,169136,13668,858,gREs1hBSZqE
248,THE BIG DECISION...,2021-04-16T13:59:27Z,143294,11891,1538,Jh65DIUQ1Xg
249,I TORE MY HIP FLEXOR :( Road To Nationals Ep.11,2021-04-14T13:59:55Z,214264,14425,1004,9Y_H_rWmVYk
250,THE FIRST BENCH SESSION! Road To Nationals Ep.10,2021-04-12T14:30:43Z,382661,19985,1365,SxvSxYozM6U
251,STARTING THE PROGRAM! Road To Nationals Ep.09,2021-04-09T13:58:00Z,222040,15818,883,Fbq8NnxEgcQ
252,A PRODUCTIVE SUNDAY! Road To Nationals Ep.08,2021-04-06T13:59:18Z,175014,13316,772,UU_onCGK3eA
253,SETTING NEW RECORDS! Road To Nationals Ep.07,2021-04-04T14:05:22Z,187767,13100,683,z6-y8Ce2Sbc
254,MAJOR IMPROVEMENTS! Road To Nationals Ep.06,2021-04-02T13:59:45Z,177539,12560,834,TNN_4n-ninE
255,Training Back & Biceps w/ Prathamesh Singh | Road To Nationals Ep.05,2021-03-29T14:10:39Z,173353,11824,958,DO6l2d5wKE0
256,PRACTICE WEEK CONTINUES! Road To Nationals Ep.04,2021-03-27T14:59:04Z,210137,13881,1078,q5un5ZOc_Sw
257,I'M GETTING WORRIED! Sunday Bodybuilding Chest Session | Road To Nationals Ep.03,2021-03-25T14:29:48Z,179412,11896,739,RDV0XS5qqfA
258,SBD PRACTICE SESSION! Healthy Whey Protein Smoothie | Road To Nationals Ep.02,2021-03-24T13:59:18Z,148211,10921,1260,GSZn9jsL7dI
259,THE OFFICIAL RETURN | Preparing For A Powerlifting Meet!,2021-03-22T14:00:55Z,232515,17367,1600,ERjRhalQwlQ
260,HUGE SUPPLEMENT PACKAGE UNBOXING! Weekend Upper Body Session,2021-03-21T13:57:27Z,257809,15358,950,dkE_P8yb7Xg
261,SEE YOU SOON @YashSharmaFitness  | H&M Package Unboxing!,2021-03-20T14:05:53Z,136671,10972,1348,wmpSlw5xWeE
262,130KG BENCH CHALLENGE! Training Chest & Shoulders w/ @YashSharmaFitness,2021-03-19T14:00:31Z,299363,16084,748,BqRd_6zaChI
263,WELCOME TO PUNE! @YashSharmaFitness,2021-03-17T13:55:39Z,484982,25691,750,NpGfp059ycU
264,UPPER BODY PUMP-UP w/ @AryanKhannayt,2021-03-15T14:15:51Z,175732,12780,713,x9wbkfngx38
265,BACK HOME! Reunited w/ @AryanKhannayt,2021-03-12T13:58:02Z,226472,17031,879,kBtBsw8m2fE
266,BEST PUMP EVER! Blood Flow Restriction Training w/ @YashSharmaFitness,2021-03-10T14:13:45Z,325105,18518,704,GOyJokE49HE
267,THE LAST DAY | My First 5K RUN! w/ @YashSharmaFitness  • Exploring Rishikesh 04,2021-03-08T14:02:22Z,183021,14114,613,_MS4HjDdk3o
268,The THIRD Day: Ganga Aarti Experience & More | Exploring Rishikesh 03,2021-03-05T13:59:26Z,136472,10419,587,cUClZVAimRM
269,"Arm Wrestling 1v1, Hostel Room Tour, Day in the Life | Exploring Rishikesh 02",2021-03-03T13:59:50Z,243007,16053,625,JmUKPuKqCw4
270,The BIGGEST Crossover on Indian Fitness YouTube,2021-02-28T14:05:14Z,506283,27716,1279,bIivC_o7iQc
271,The Next Adventure ft. @YashSharmaFitness @SiddhantRaiSikand @theyashanand,2021-02-26T13:34:11Z,205599,13749,933,aZt4rv0-feY
272,Training Back & Biceps w/ @theyashanand + Visiting Gwalior Fort | Exploring Gwalior 02,2021-02-24T14:08:59Z,254929,17903,666,REK3jvSX_x4
273,FST-7 CHEST Workout w/ @Yash Anand | Exploring Gwalior 01,2021-02-21T13:38:35Z,577257,29881,1363,_2MTKmmt8c0
274,ARRIVING IN GWALIOR @theyashanand,2021-02-19T14:01:37Z,336868,26638,1066,QmPYxg_3wT0
275,TIME TO PACK! The Last Workout in Pune,2021-02-17T14:09:58Z,166320,12542,771,jXCiK1ErORU
276,THE RETURN TO STRENGTH TRAINING,2021-02-15T13:59:55Z,230636,14747,778,8ktmUxEZnmU
277,NEW MACBOOK UNBOXING! Upgrading To M1 Air,2021-02-14T14:15:14Z,624677,35159,1319,bcNRq3cXM2E
278,Exploring Lohagad,2021-02-10T14:19:56Z,181116,17300,1164,T5cbql-76OA
279,Training Back at The Corinthians Club,2021-02-08T14:00:44Z,156422,13266,717,FqfDLgQ7swA
280,Training At A New Gym!,2021-02-03T13:59:40Z,386042,21314,1039,UXIesyBeCoM
281,Back To Routine,2021-01-31T13:57:30Z,233434,15601,1009,B0L1NsPOt70
282,Learning Filmmaking & Editing | A Day With @ViragDesaiViragDesai,2021-01-28T14:01:26Z,137932,10644,505,6EKh0cDur2o
283,My First Photoshoot,2021-01-25T14:28:37Z,209839,16039,710,ACYXnOc79gw
284,Training Back & Biceps At Bodypower Studio,2021-01-22T14:02:54Z,211037,15992,921,y4fIvfOXvdE
285,A Casual Day in the Life w/ Aryan Khanna • Minor Setbacks,2021-01-20T14:18:22Z,195668,14329,1430,pCpHSxc9_us
286,Strength's Finally Coming Back,2021-01-17T15:18:39Z,217551,14379,1004,aV8-63l0xAY
287,The Leanest & Fullest I’ve Ever Been...,2021-01-15T12:00:11Z,247076,16015,2163,wnP92p5-JO0
288,Feeling Good About This Year,2021-01-13T12:02:51Z,141497,12768,817,lZqREllEQdk
289,Visiting The OnePlus Store | Quick Back Workout,2021-01-09T11:29:27Z,748675,34995,1622,ebMPvybmxdg
290,The First Of 2021,2021-01-07T12:12:51Z,196274,14500,1088,QyFSa8m43SU
291,"My PULL Workout Explained: Back, Biceps, Rear Delts & Forearms • Legs/Push/Pull Series Ep.3",2021-01-05T12:00:11Z,889970,48526,2138,iiyRphKFYRY
292,"My PUSH Workout Explained: Chest, Shoulders & Triceps • Legs/Push/Pull Series Ep.2",2021-01-03T12:00:01Z,1232663,55926,1804,-_81CEnNqoI
293,"My LEG Workout Explained: Quads, Hamstrings & Calves • Legs/Push/Pull Series Ep.1",2021-01-01T12:00:12Z,793071,48328,1465,QEtCYoznu-0
294,Surprise Shopping At Decathlon & Lazy Sundays,2020-12-29T12:00:23Z,281499,18530,1158,ZOtjuE_59l0
295,"Celebrating 1,00,000! • Back To Squatting",2020-12-26T12:00:02Z,294560,20329,933,80WRpA0T61c
296,The Sunday Morning CHEST Workout: Hotel Gym Edition,2020-12-22T12:00:10Z,200480,13011,1033,VLIRdAskTEs
297,BACK Day w/ Aryan Khanna | Growing Weak Points,2020-12-19T06:05:33Z,246451,13961,997,ZiOKWxfu8TM
298,What I Eat To Stay LEAN | A Day In My Life + Full Day Of Eating,2020-12-15T12:00:16Z,2621114,123840,7183,rpyG8NltbkU
299,Incline Bench Records & Yoga | Match Day Reaction,2020-12-12T12:00:13Z,389176,18125,1205,oTzJuo_UMeY
300,Training Back & Biceps w/ Aryan Khanna,2020-12-09T12:00:02Z,199231,13480,1094,uBjGRuvLROQ
301,RETURNING TO PUNE | Push Day w/ Aryan Khanna | Back To Routine,2020-12-06T12:00:22Z,186817,12892,1128,VNasDWki70k
302,THE BEST BURGER EVER?! Visiting Burger Factory & The Last Beach Day! | Exploring Goa 03,2020-12-04T06:00:02Z,308787,15624,851,B0PpjkziKGo
303,BAGA BEACH ADVENTURES & Go-Karting | Exploring Goa 02,2020-12-02T06:00:11Z,252906,14059,739,ZRh1Y7K0Mrk
304,CRAZY HOTEL ROOM TOUR & Visiting Calangute Beach | Exploring Goa 01,2020-11-29T06:00:01Z,290462,16438,961,-s1rU6EKb2w
305,LEAVING PUNE | The Journey To Goa Begins!,2020-11-27T06:00:05Z,371206,22182,916,mTK2-wgCx8k
306,Diwali Shopping At H&M & Westside + Visiting The Apple Store Pt.2,2020-11-24T06:00:00Z,505481,24971,870,2lF40PYFgYw
307,NEW CAMERA UNBOXING! Upgrading To Sony | Back Workout,2020-11-22T06:00:03Z,191629,13882,984,CkAqQnce2jE
308,The PACKAGE Is FINALLY Here! Getting a Haircut + Leg Day Vlog,2020-11-19T06:00:05Z,158439,11443,1225,hitqsNT_yuc
309,The DIWALI 2020 Experience: CHEST Workout & Celebration!,2020-11-16T06:00:03Z,196860,14312,871,dBVwQMXacTs
310,CELEBRATING MILESTONES || EASY & TASTY Soya Chunk Recipe + Back Workout,2020-11-13T06:00:10Z,1050461,43948,1088,_MguX3ygpPk
311,Shooting B-Roll w/ Virag Desai • Behind The Scenes,2020-11-10T06:00:27Z,100515,7979,489,_xaZjkQmM9s
312,Back To Benching | Cold Coffee Recipe...FINALLY,2020-11-08T06:01:36Z,363955,20507,775,H-_pCMhUjeg
313,SQUATTING AFTER 100 DAYS Pt.2 | Raw Leg Day Vlog,2020-11-05T05:15:02Z,129276,9904,706,wpTM408Q1yI
314,GYMS FINALLY REOPENED! Back At Evolve,2020-11-04T06:00:06Z,153426,12086,901,uzJEZMWlsl8
315,TRAINING BACK & ARMS | The Last Hotel Gym Workout,2020-11-02T06:00:04Z,153911,11629,691,YZSmq3dGXLc
316,CHEST DAY & Shooting w/ Aryan Khanna,2020-10-31T06:00:00Z,335595,16839,780,7KQB7U3G6Z8
317,TRAINING LEGS AFTER 100 DAYS,2020-10-29T06:00:07Z,154495,10381,817,oXdxQV9U_wI
318,The Kamshet Trek Recap (4K) | First ONLINE EXAM & Full Back Workout,2020-10-27T05:59:55Z,118250,9314,637,6DzkvuF4bQw
319,"My Current Skincare Routine, PUSH Workout & Learning C Programming!",2020-10-23T06:00:19Z,174369,11256,730,dHoCW9OU0gc
320,Full Day of Shooting & Training | Watching The IPL w/ Aryan Khanna,2020-10-21T07:23:09Z,112247,9495,877,ZIsY07eO8p0
321,FASTEST Way to Lose BELLY FAT: Diet & Lifestyle Tips!,2020-10-16T06:00:08Z,1492468,82317,1710,f7QYuaosgcQ
322,Quality Upgrades | MASSIVE Chicken Roulade & Pasta Cheat Meal!,2020-10-12T06:00:02Z,173579,13721,857,XW3BCgP3vsE
323,Cricket 1v1 & Training w/ Aryan Khanna,2020-10-08T06:47:18Z,257617,15804,1140,LCdhqLyivTw
324,Preparing For The Mini Cut | Homemade Protein Pancake Recipe!,2020-10-05T06:00:28Z,178177,12770,803,WjdCH7cUNG4
325,IT'S COMEBACK TIME | Recovering From The Injury!,2020-10-02T06:01:35Z,130619,10770,762,0uisxThIYHU
326,5 Muscle Building & Diet MISTAKES I Made as a Beginner,2020-09-26T06:00:05Z,5293912,332423,5211,_gnNZ7GosyY
327,NEW GYM & The Day Nothing Went Right,2020-09-12T06:00:01Z,212973,17123,1170,DCGQ0NbLOBU
328,The 7:00AM Raw Bench Press Workout,2020-09-09T06:00:01Z,145238,10923,955,aztRjPVkuzk
329,"Burn BELLY FAT Forever: Diet, Training & Cardio Explained",2020-09-06T06:32:01Z,2166863,105518,2220,LTM-tSGGhI4
330,Visiting The Apple Store & Shopping at Decathlon,2020-09-02T07:02:43Z,356480,14873,862,z4FXrUdqCeo
331,Preparing For Final Year! Training CHEST & SHOULDERS at an Outdoor Gym,2020-08-28T06:00:04Z,192996,12390,1000,nhyDtemjqUc
332,New Phone Unboxing!! Explaining My Current Training Routine,2020-08-26T06:00:16Z,434281,23591,1199,Qu-f0a_uh3g
333,CHEST Workout: Society Gym Edition | Playing With My New Toy,2020-08-19T06:00:00Z,294863,13509,1085,2igogpyyjkA
334,RAW Back Workout | Shopping For A New Phone,2020-08-11T06:00:03Z,196158,11050,1206,U2Orydn3rZA
335,No Gym Home Biceps Workout | Spending Time With Aryan Khanna,2020-08-09T06:00:05Z,177615,10777,955,hSDo332aVpM
336,Goodbye Lockdown: Vlogs Are Back,2020-08-05T06:00:06Z,152937,10408,1138,cqbwOzbpBYI
337,I Tried The KETO Diet For 7 DAYS: Quitting Carbs & Sugar,2020-07-29T06:00:02Z,778550,33780,4413,cT1RCg-cZlU
338,10 Weight Loss Mistakes: BELLY Fat Kam Kyu Nahi Ho Raha?,2020-07-17T06:00:14Z,2290836,145047,4437,qtZJ7sKMxQQ
339,The FINAL Episode | New Home Gym Equipment,2020-07-16T06:00:03Z,299028,16052,858,9CHF4sVMjzE
340,The Last Workout | Preparing for Lockdown,2020-07-13T06:00:02Z,155400,10535,877,A6xs4ZA5YFg
341,"1,00,000",2020-07-11T07:54:11Z,90628,11442,1029,NIZy1Mf0Rxw
342,My New Obsession & French Toast,2020-07-10T06:00:00Z,136116,8369,767,860j5J0BFN0
343,ARMWRESTLING vs Aryan Khanna,2020-07-09T06:00:05Z,258276,15682,1087,_ZRwax-hiBg
344,It Takes 21 Days :),2020-07-08T06:00:04Z,222306,20452,1085,cIf5-yV0dpk
345,My Chicken Sandwich Recipe & High Volume CHEST Training,2020-07-07T06:00:11Z,344662,18271,1012,jWDETMrOtw0
346,Half-Natty Lighting & Blu :),2020-07-06T06:00:01Z,96077,7092,597,4z5TRUtWCVQ
347,New Gym Equipment & Soya Milk :),2020-07-05T06:00:10Z,142890,10329,909,Z6VX290I0Fo
348,Life Is Unpredictable,2020-07-04T06:00:00Z,80379,6673,704,5Gt9xkY3jBQ
349,"Japan, Hot Noodles & Arms",2020-07-03T06:00:01Z,152843,10295,1377,8yRUjjQaKzk
350,Root Canals & Mid-Day Adventures,2020-07-02T06:00:02Z,105403,7275,706,K-lweRMQ2mE
351,SUCH A GOOD DAY!! :),2020-07-01T06:00:17Z,107753,7587,867,wMKPDA27oxE
352,LOWEST BUDGET GROCERY SHOPPING: Cheap Indian Bodybuilding Foods to Build Muscle,2020-06-29T06:00:13Z,204817,12209,815,qnlXfoq5YRo
353,"Tooth Pain, Bench Press & Fusen Gum",2020-06-28T06:00:07Z,91404,6575,716,rfhO4PmSOqQ
354,GYMS ARE REOPENING!? :),2020-06-27T06:00:03Z,84518,7089,1588,TKh3VRv1hwQ
355,WAKE UP & HUSTLE :),2020-06-26T06:04:44Z,125708,9138,897,2GgjjZjvoTk
356,DO SOMETHING THAT EXCITES YOU: EVERY SINGLE DAY,2020-06-25T06:54:43Z,94481,7824,756,qmlvjIMxQuM
357,LIFE IS A BLESSING :),2020-06-24T06:00:39Z,132163,9544,861,aZpp2G7_t3o
358,MY SECRETS TO STAYING LEAN...,2020-06-23T06:05:00Z,142634,12009,672,UuKgFqsXcH4
359,BACK & BICEPS WORKOUT | New Camera Bag,2020-06-22T06:01:02Z,99450,6494,693,B5JoM2SLXCM
360,SQUATTING AFTER 100 DAYS | First Leg Workout,2020-06-20T05:59:24Z,114424,6366,648,bbgz_qde-MI
361,MY RETURN TO POWERLIFTING | Full Bench & Push Workout,2020-06-18T06:00:50Z,128190,6779,621,sZsULACKk_s
362,The Problem With Spectacles,2020-06-17T05:59:26Z,103788,7215,488,L1oIm9GwZVQ
363,"BAARISH, CHAI aur TRAINING :)",2020-06-16T05:59:50Z,147949,11105,973,rfxrN84PtfM
364,I CAN FINALLY TRAIN AGAIN!! Outdoor Chest Workout w/ Aryan Khanna,2020-06-15T06:00:39Z,228891,11591,677,ZR40C8PobY8
365,"WALKING 1,00,000 STEPS IN A DAY CHALLENGE!",2020-06-13T07:29:56Z,333546,23884,1843,4Wf53GEacMM
366,WHAT I EAT TO STAY LEAN | Quarantine Day in the Life,2020-06-05T07:00:25Z,1057501,55796,11384,JsebKKq-O2U
367,5 Daily Habits That’ll Change YOUR LIFE,2020-06-01T07:03:22Z,231584,21976,1279,9x5Kd0TrzGM
368,New Camera | Home Back Workout,2020-05-27T06:27:32Z,90078,4932,439,I9YajBxl5e8
369,5 Bulking Mistakes that 'HARDGAINERS' Make: Results Kyu Nahi Dikh Rahe?,2020-05-25T07:37:47Z,2401367,124140,1842,Qs861dRBF9I
370,Burn CHEST FAT Forever (5 आसान Steps): Man Boobs & Gynecomastia Solution!,2020-05-19T06:53:08Z,2441709,103002,1215,Wu5g-RLWP2g
371,Protein Powder: How to use WHEY for MUSCLE GROWTH,2020-05-09T13:27:55Z,801409,42670,1166,LuLtr5n1QHs
372,Saket Gokhale 3 Year Natural Body Transformation,2020-05-06T12:30:16Z,379082,17731,1223,NhIVC9KkTHM
373,Maintain your MUSCLE during RAMADAN!,2020-05-03T12:39:53Z,87112,9020,575,mpq_s6LtnZU
374,Use this QUARANTINE to get SHREDDED,2020-05-01T12:53:38Z,47136,3305,293,yHsRDi5Pn0Y
375,FASTEST way to lose BELLY FAT for Indians,2020-04-27T12:51:42Z,3834193,161216,3119,Z3I3jr1X9HI
376,"50,000 Q&A: Steroids, Social Media Tips, Motivation",2020-04-25T12:54:43Z,113912,7932,637,iXVg559kkss
377,How to get VISIBLE ABS (3 आसान Steps!) Full Diet & Workout Explained,2020-04-15T13:26:14Z,776141,44233,885,Mq-NpLV7xHo
378,Meditating Every Day is Changing My Life,2020-04-13T12:48:58Z,48145,4371,396,7cHWUvvW2hU
379,How to Solve a 3x3 Rubik's Cube (आसान Steps में): Full Beginner Tutorial,2020-04-10T12:49:25Z,73035,3428,246,T40uAO6FkwQ
380,Try this PUSHUP VARIATION for a BIGGER CHEST,2020-04-03T11:21:59Z,34109,2263,324,QfqAUXVklM0
381,Stop making these HOME WORKOUT mistakes!,2020-04-01T13:53:39Z,200789,12844,562,XfSJ9fL7WDg
382,Day in the Life of an Indian Student during Quarantine 🇮🇳 My Diet to Gain Muscle & Lose Fat,2020-03-28T14:03:37Z,644542,35675,5737,nb4CSmsRx1c
383,No Gym Full Body Workout At Home,2020-03-26T13:46:52Z,96979,5364,394,2F1P0qcYeZA
384,How I Lost BELLY FAT: My CRAZY 3 Month Natural Weight Loss TRANSFORMATION Journey,2020-03-25T15:32:16Z,1129558,56112,1335,qquf2HBDgKo
385,10 FAT LOSS tips that changed my physique,2020-03-19T14:11:26Z,859520,46252,801,t4IhNbHTmVw
386,Top 5 CHEAPEST HIGH PROTEIN foods for STUDENTS 🇮🇳 Budget Indian bodybuilding Vegetarian diet,2020-03-16T14:14:26Z,360527,18096,475,IsED11r2U2g
387,Soya: HEALTHY or NOT? Best HIGH protein food for VEGETARIANS,2020-03-13T14:19:53Z,352958,23368,1040,il9wk2PdeTI
388,CHEAPEST Pre-Workout Meal (कम पैसे में) 🇮🇳 Budget Indian Bodybuilding Diet College & Hostel Students,2020-03-11T14:55:28Z,345124,22537,811,FIIgV9PNrVo
389,SKINNY FAT से MUSCULAR (3 आसान Steps): Body Recomposition Explained,2020-03-08T14:35:15Z,294747,15025,673,wYGhx5xBg3c
390,SKINNY से MUSCULAR: 3 Easy Steps में | Weight Gain Kaise Karein?,2020-03-01T14:15:23Z,1940639,105853,1993,kHDUOD7Bwvo
391,"HOMEMADE 1,000 Calorie Mass Gainer Shake Recipe for Muscle Building",2020-02-27T12:43:38Z,966076,44617,1149,_oFvAnsiPWM
392,"Most Effective PUSH Workout For MUSCLE GROWTH | Chest, Shoulders & Triceps Workout (PART B)",2020-02-24T12:22:45Z,172250,6532,290,6asE6A7wO14
393,Full Day Of Eating: Indian Diet for College Students!,2020-02-14T12:43:35Z,507635,27907,740,CeMKjL1QxoQ
394,Most Effective PULL Workout For MUSCLE GROWTH | Back & Biceps Workout,2020-02-05T13:54:21Z,267544,11235,312,8HzSbe_uQ90
395,How to Deadlift Properly in हिंदी: Full Tutorial,2020-02-03T12:18:41Z,341765,17565,275,Z09FvXNFV3c
396,Grilled Egg Sandwich | Healthy Breakfast Egg Recipes Indian Bodybuilding,2020-01-29T13:23:41Z,190359,9629,165,u6A7h4dwMS0
397,"Most Effective PUSH Workout For MUSCLE GROWTH | Chest, Shoulders & Triceps Workout (PART A)",2020-01-22T12:25:50Z,391962,16432,293,WqzpaRHzi3E
398,Top 2 Exercises to Grow Forearms | My FOREARMS Workout,2020-01-20T12:51:03Z,22042,1310,81,5zFVx-rhMeM
399,CHICKEN BREAST in 10 Minutes: Indian Bodybuilding Healthy Recipes for WEIGHT LOSS,2020-01-10T12:23:19Z,1730252,75991,1253,o2CSXAPRW2A
400,Weight Loss Full Day Of Eating : Indian Bodybuilding 🇮🇳 Fatloss Diet for College Students,2019-12-25T12:29:23Z,424343,21353,604,Q1rFa8XK02U
401,SHOULDERS: The MOST IMPORTANT Exercise for WIDER & BIGGER Deltoids,2019-12-23T12:35:41Z,44184,3012,111,E8QemFk5aGM
402,BIG ARMS Workout Routine for Muscle (हिंदी) Sets and Reps Included | GROW Your BICEPS and TRICEPS,2019-12-12T12:24:01Z,75017,4189,116,6kJ6xazyWts
403,FULL DAY OF EATING Indian Bodybuilding 🇮🇳 Bulking DIET & MEALS for STUDENTS (Hostel/College),2019-12-02T12:18:48Z,391747,23421,595,H8cwa_CRlvI
404,No Gym Full Body Workout,2019-11-29T13:43:26Z,58491,3950,111,-eZuEr4lEf0
405,LOWEST BUDGET SUPPLEMENTS Less than Rs.1000 🇮🇳 Indian Bodybuilding for College & Hostel Students,2019-11-16T12:43:17Z,1319357,61105,2118,jv0Uj2nz_yo
406,Quick 5 Min. Forearm Workout for Muscle Gain & Size (हिंदी)🇮🇳 | How To Grow BIG FOREARMS,2019-11-06T13:25:09Z,151949,8073,130,I-waL4ostDM
407,Most Effective LEGS Workout For MUSCLE GROWTH | How To Squat Properly in Hindi INCREASE YOUR SQUAT,2019-11-02T12:47:35Z,348810,16755,308,RfiC7HL0OAM
408,The Journey to Dudhsagar 🍂,2019-10-15T06:50:47Z,50886,2643,72,Xo3o89-LXrE
409,How to lose BELLY FAT (EASY STEPS!) Explained in 6 minutes,2019-10-11T13:16:15Z,1161316,48020,770,MwaJJAK5-LI
410,How To BUILD BIG ARMS 🇮🇳 Kyu Grow NAHI Ho Rahe (हिंदी)- Don't Make These Mistakes!,2019-10-03T13:10:18Z,702305,37478,647,faAcBRL5zws
411,"CREATINE 101: Benefits, Side Effects, How Much Per Day?",2019-09-13T12:58:44Z,989889,42463,1121,fRIrez30Y_M
412,FULL DAY OF EATING Indian Bodybuilding (हिंदी)🇮🇳Diet Plan for Students | Fast Weight & Muscle Gain,2019-09-03T12:35:11Z,1059300,69419,1571,CDF7ARRdyuk
